Day,District,timeSlot,level1,level2,level3,level4
22,1,1,,,,
22,1,2,,,,
22,1,3,,,,
22,1,4,,,,
22,1,5,,,,
22,1,6,,,,
22,1,7,,,,
22,1,8,,,,
22,1,9,,,,
22,1,10,,,,
22,1,11,,,,
22,1,12,,,,
22,1,13,,,,
22,1,14,,,,
22,1,15,,,,
22,1,16,,,,
22,1,17,,,,
22,1,18,,,,
22,1,19,,,,
22,1,20,,,,
22,1,21,,,,
22,1,22,,,,
22,1,23,,,,
22,1,24,,,,
22,1,25,,,,
22,1,26,,,,
22,1,27,,,,
22,1,28,,,,
22,1,29,,,,
22,1,30,,,,
22,1,31,,,,
22,1,32,,,,
22,1,33,,,,
22,1,34,,,,
22,1,35,,,,
22,1,36,,,,
22,1,37,,,,
22,1,38,,,,
22,1,39,,,,
22,1,40,,,,
22,1,41,,,,
22,1,42,,,,
22,1,43,1392.0,204.0,86.0,45.0
22,1,44,1454.0,269.0,102.0,73.0
22,1,45,1537.0,304.0,118.0,84.0
22,1,46,,,,
22,1,47,,,,
22,1,48,,,,
22,1,49,,,,
22,1,50,,,,
22,1,51,,,,
22,1,52,,,,
22,1,53,,,,
22,1,54,,,,
22,1,55,1819.0,324.0,122.0,72.0
22,1,56,1784.0,357.0,110.0,52.0
22,1,57,1736.0,373.0,133.0,82.0
22,1,58,,,,
22,1,59,,,,
22,1,60,,,,
22,1,61,,,,
22,1,62,,,,
22,1,63,,,,
22,1,64,,,,
22,1,65,,,,
22,1,66,,,,
22,1,67,1709.0,355.0,66.0,111.0
22,1,68,1657.0,343.0,101.0,72.0
22,1,69,1747.0,328.0,112.0,62.0
22,1,70,,,,
22,1,71,,,,
22,1,72,,,,
22,1,73,,,,
22,1,74,,,,
22,1,75,,,,
22,1,76,,,,
22,1,77,,,,
22,1,78,,,,
22,1,79,1595.0,346.0,119.0,78.0
22,1,80,1624.0,374.0,129.0,95.0
22,1,81,1662.0,330.0,74.0,86.0
22,1,82,,,,
22,1,83,,,,
22,1,84,,,,
22,1,85,,,,
22,1,86,,,,
22,1,87,,,,
22,1,88,,,,
22,1,89,,,,
22,1,90,,,,
22,1,91,1725.0,379.0,113.0,78.0
22,1,92,1639.0,318.0,106.0,81.0
22,1,93,1589.0,356.0,100.0,86.0
22,1,94,,,,
22,1,95,,,,
22,1,96,,,,
22,1,97,,,,
22,1,98,,,,
22,1,99,,,,
22,1,100,,,,
22,1,101,,,,
22,1,102,,,,
22,1,103,1677.0,439.0,135.0,108.0
22,1,104,1640.0,443.0,138.0,112.0
22,1,105,1664.0,459.0,179.0,112.0
22,1,106,,,,
22,1,107,,,,
22,1,108,,,,
22,1,109,,,,
22,1,110,,,,
22,1,111,,,,
22,1,112,,,,
22,1,113,,,,
22,1,114,,,,
22,1,115,1622.0,433.0,170.0,124.0
22,1,116,1669.0,447.0,150.0,115.0
22,1,117,1630.0,447.0,160.0,107.0
22,1,118,,,,
22,1,119,,,,
22,1,120,,,,
22,1,121,,,,
22,1,122,,,,
22,1,123,,,,
22,1,124,,,,
22,1,125,,,,
22,1,126,,,,
22,1,127,1638.0,371.0,95.0,82.0
22,1,128,1623.0,353.0,83.0,83.0
22,1,129,1603.0,357.0,97.0,62.0
22,1,130,,,,
22,1,131,,,,
22,1,132,,,,
22,1,133,,,,
22,1,134,,,,
22,1,135,,,,
22,1,136,,,,
22,1,137,,,,
22,1,138,,,,
22,1,139,1527.0,225.0,94.0,68.0
22,1,140,1485.0,277.0,78.0,56.0
22,1,141,1518.0,287.0,79.0,58.0
22,1,142,,,,
22,1,143,,,,
22,1,144,,,,
22,2,1,,,,
22,2,2,,,,
22,2,3,,,,
22,2,4,,,,
22,2,5,,,,
22,2,6,,,,
22,2,7,,,,
22,2,8,,,,
22,2,9,,,,
22,2,10,,,,
22,2,11,,,,
22,2,12,,,,
22,2,13,,,,
22,2,14,,,,
22,2,15,,,,
22,2,16,,,,
22,2,17,,,,
22,2,18,,,,
22,2,19,,,,
22,2,20,,,,
22,2,21,,,,
22,2,22,,,,
22,2,23,,,,
22,2,24,,,,
22,2,25,,,,
22,2,26,,,,
22,2,27,,,,
22,2,28,,,,
22,2,29,,,,
22,2,30,,,,
22,2,31,,,,
22,2,32,,,,
22,2,33,,,,
22,2,34,,,,
22,2,35,,,,
22,2,36,,,,
22,2,37,,,,
22,2,38,,,,
22,2,39,,,,
22,2,40,,,,
22,2,41,,,,
22,2,42,,,,
22,2,43,594.0,55.0,21.0,14.0
22,2,44,649.0,97.0,23.0,15.0
22,2,45,712.0,82.0,16.0,12.0
22,2,46,,,,
22,2,47,,,,
22,2,48,,,,
22,2,49,,,,
22,2,50,,,,
22,2,51,,,,
22,2,52,,,,
22,2,53,,,,
22,2,54,,,,
22,2,55,716.0,114.0,39.0,22.0
22,2,56,688.0,142.0,40.0,27.0
22,2,57,660.0,143.0,18.0,19.0
22,2,58,,,,
22,2,59,,,,
22,2,60,,,,
22,2,61,,,,
22,2,62,,,,
22,2,63,,,,
22,2,64,,,,
22,2,65,,,,
22,2,66,,,,
22,2,67,723.0,173.0,31.0,13.0
22,2,68,635.0,189.0,27.0,22.0
22,2,69,671.0,186.0,40.0,12.0
22,2,70,,,,
22,2,71,,,,
22,2,72,,,,
22,2,73,,,,
22,2,74,,,,
22,2,75,,,,
22,2,76,,,,
22,2,77,,,,
22,2,78,,,,
22,2,79,704.0,205.0,34.0,20.0
22,2,80,680.0,192.0,38.0,17.0
22,2,81,663.0,178.0,27.0,20.0
22,2,82,,,,
22,2,83,,,,
22,2,84,,,,
22,2,85,,,,
22,2,86,,,,
22,2,87,,,,
22,2,88,,,,
22,2,89,,,,
22,2,90,,,,
22,2,91,647.0,157.0,29.0,26.0
22,2,92,615.0,179.0,48.0,26.0
22,2,93,655.0,157.0,40.0,22.0
22,2,94,,,,
22,2,95,,,,
22,2,96,,,,
22,2,97,,,,
22,2,98,,,,
22,2,99,,,,
22,2,100,,,,
22,2,101,,,,
22,2,102,,,,
22,2,103,672.0,302.0,48.0,27.0
22,2,104,626.0,301.0,44.0,26.0
22,2,105,627.0,299.0,55.0,22.0
22,2,106,,,,
22,2,107,,,,
22,2,108,,,,
22,2,109,,,,
22,2,110,,,,
22,2,111,,,,
22,2,112,,,,
22,2,113,,,,
22,2,114,,,,
22,2,115,724.0,204.0,39.0,23.0
22,2,116,678.0,216.0,52.0,33.0
22,2,117,721.0,179.0,40.0,19.0
22,2,118,,,,
22,2,119,,,,
22,2,120,,,,
22,2,121,,,,
22,2,122,,,,
22,2,123,,,,
22,2,124,,,,
22,2,125,,,,
22,2,126,,,,
22,2,127,776.0,130.0,37.0,9.0
22,2,128,724.0,118.0,24.0,22.0
22,2,129,712.0,159.0,29.0,22.0
22,2,130,,,,
22,2,131,,,,
22,2,132,,,,
22,2,133,,,,
22,2,134,,,,
22,2,135,,,,
22,2,136,,,,
22,2,137,,,,
22,2,138,,,,
22,2,139,724.0,91.0,23.0,35.0
22,2,140,718.0,113.0,18.0,21.0
22,2,141,731.0,79.0,38.0,23.0
22,2,142,,,,
22,2,143,,,,
22,2,144,,,,
22,3,1,,,,
22,3,2,,,,
22,3,3,,,,
22,3,4,,,,
22,3,5,,,,
22,3,6,,,,
22,3,7,,,,
22,3,8,,,,
22,3,9,,,,
22,3,10,,,,
22,3,11,,,,
22,3,12,,,,
22,3,13,,,,
22,3,14,,,,
22,3,15,,,,
22,3,16,,,,
22,3,17,,,,
22,3,18,,,,
22,3,19,,,,
22,3,20,,,,
22,3,21,,,,
22,3,22,,,,
22,3,23,,,,
22,3,24,,,,
22,3,25,,,,
22,3,26,,,,
22,3,27,,,,
22,3,28,,,,
22,3,29,,,,
22,3,30,,,,
22,3,31,,,,
22,3,32,,,,
22,3,33,,,,
22,3,34,,,,
22,3,35,,,,
22,3,36,,,,
22,3,37,,,,
22,3,38,,,,
22,3,39,,,,
22,3,40,,,,
22,3,41,,,,
22,3,42,,,,
22,3,43,182.0,31.0,10.0,3.0
22,3,44,176.0,16.0,3.0,2.0
22,3,45,207.0,32.0,3.0,3.0
22,3,46,,,,
22,3,47,,,,
22,3,48,,,,
22,3,49,,,,
22,3,50,,,,
22,3,51,,,,
22,3,52,,,,
22,3,53,,,,
22,3,54,,,,
22,3,55,279.0,32.0,10.0,16.0
22,3,56,261.0,50.0,18.0,6.0
22,3,57,246.0,53.0,7.0,10.0
22,3,58,,,,
22,3,59,,,,
22,3,60,,,,
22,3,61,,,,
22,3,62,,,,
22,3,63,,,,
22,3,64,,,,
22,3,65,,,,
22,3,66,,,,
22,3,67,201.0,80.0,9.0,5.0
22,3,68,211.0,66.0,32.0,14.0
22,3,69,198.0,64.0,9.0,8.0
22,3,70,,,,
22,3,71,,,,
22,3,72,,,,
22,3,73,,,,
22,3,74,,,,
22,3,75,,,,
22,3,76,,,,
22,3,77,,,,
22,3,78,,,,
