Day,timeSlot,Weather,Temperature,PM2.5
1,1,1.0,3.5,177.0
1,2,1.0,3.0,177.0
1,3,1.0,3.0,177.0
1,4,1.0,3.0,177.0
1,5,1.0,3.0,177.0
1,6,1.0,3.0,177.0
1,7,1.0,3.0,177.0
1,8,1.0,3.0,177.0
1,9,1.0,3.0,177.0
1,10,1.0,3.0,177.0
1,11,1.0,3.0,206.0
1,12,1.0,3.0,206.0
1,13,1.0,3.0,206.0
1,14,1.0,3.0,206.0
1,15,1.0,3.0,206.0
1,16,1.0,3.0,206.0
1,17,1.0,3.0,206.0
1,18,1.0,3.0,205.0
1,19,1.0,3.0,205.0
1,20,1.0,3.0,205.0
1,21,1.0,3.0,205.0
1,22,1.0,3.0,205.0
1,23,1.0,3.0,195.0
1,24,1.0,3.0,195.0
1,25,1.0,3.0,195.0
1,26,1.0,3.0,195.0
1,27,1.0,3.0,195.0
1,28,1.0,3.0,195.0
1,29,1.0,3.0,195.0
1,30,1.0,3.0,184.0
1,31,1.0,3.0,184.0
1,32,1.0,3.0,184.0
1,33,1.0,2.5,184.0
1,34,1.0,2.0,184.0
1,35,1.0,2.0,184.0
1,36,1.0,2.0,184.0
1,37,1.0,2.0,184.0
1,38,1.0,2.0,184.0
1,39,1.0,2.0,184.0
1,40,1.0,2.0,184.0
1,41,1.0,2.0,181.0
1,42,1.0,2.0,181.0
1,43,1.0,2.0,181.0
1,44,1.0,2.0,181.0
1,45,1.0,2.0,181.0
1,46,4.5,2.0,181.0
1,47,8.0,2.0,175.0
1,48,8.0,2.0,175.0
1,49,8.0,2.0,175.0
1,50,8.0,2.0,175.0
1,51,8.0,2.5,175.0
1,52,8.0,3.0,175.0
1,53,8.0,3.0,178.0
1,54,8.0,3.0,178.0
1,55,8.0,3.0,178.0
1,56,8.0,3.0,178.0
1,57,8.0,3.0,178.0
1,58,5.0,3.5,178.0
1,59,2.0,4.0,186.0
1,60,2.0,4.0,186.0
1,61,2.0,4.5,186.0
1,62,2.0,5.0,186.0
1,63,2.0,5.0,186.0
1,64,2.0,5.0,186.0
1,65,2.0,5.0,205.0
1,66,2.0,5.0,205.0
1,67,2.0,6.0,205.0
1,68,2.0,6.0,205.0
1,69,2.0,7.0,205.0
1,70,2.0,7.0,205.0
1,71,2.0,7.0,205.0
1,72,2.0,7.5,229.0
1,73,2.0,8.0,229.0
1,74,2.0,8.0,229.0
1,75,2.0,8.0,229.0
1,76,2.0,9.0,229.0
1,77,2.0,9.0,232.0
1,78,2.0,9.0,232.0
1,79,2.0,10.0,232.0
1,80,2.0,10.0,232.0
1,81,2.0,10.0,232.0
1,82,2.0,10.5,232.0
1,83,2.0,11.0,214.0
1,84,2.0,11.0,214.0
1,85,2.0,11.0,214.0
1,86,2.0,11.0,214.0
1,87,2.0,11.5,214.0
1,88,2.0,12.0,214.0
1,89,2.0,12.0,189.0
1,90,2.0,12.0,189.0
1,91,5.5,12.0,189.0
1,92,5.5,12.0,189.0
1,93,2.0,12.0,189.0
1,94,2.0,12.0,189.0
1,95,2.0,12.5,168.0
1,96,2.0,12.5,168.0
1,97,2.0,12.0,168.0
1,98,2.0,12.0,168.0
1,99,2.0,12.0,168.0
1,100,2.0,12.0,168.0
1,101,2.0,12.0,168.0
1,102,2.0,11.0,154.0
1,103,2.0,11.0,154.0
1,104,2.0,11.0,154.0
1,105,2.0,10.0,154.0
1,106,2.0,10.0,154.0
1,107,2.0,10.0,146.0
1,108,2.0,10.0,146.0
1,109,2.0,9.5,146.0
1,110,2.0,10.0,146.0
1,111,2.0,10.0,146.0
1,112,2.0,9.0,146.0
1,113,2.0,9.0,153.0
1,114,2.0,9.0,153.0
1,115,2.0,9.0,153.0
1,116,2.0,9.0,153.0
1,117,2.0,9.0,153.0
1,118,2.0,9.0,153.0
